sitename,date,ecoli_value (MPN/100mL)
Mangahao at Marima Domain,2017-01-30 00:00:00,230
Mangahao at Marima Domain,2017-02-07 00:00:00,3700
Mangahao at Marima Domain,2017-02-13 00:00:00,440
Mangahao at Marima Domain,2017-02-20 00:00:00,230
Mangahao at Marima Domain,2017-02-27 00:00:00,1200
Mangahao at Marima Domain,2017-03-06 00:00:00,150
Mangahao at Marima Domain,2017-03-13 00:00:00,210
Mangahao at Marima Domain,2017-03-20 00:00:00,130
Mangahao at Marima Domain,2017-03-27 00:00:00,130
Mangahao at Marima Domain,2017-04-03 00:00:00,1400
Mangahao at Marima Domain,2017-04-10 00:00:00,87
Mangahao at Marima Domain,2017-04-18 00:00:00,63
Mangahao at Marima Domain,2017-04-27 00:00:00,100
Mangahao at Marima Domain,2017-11-05 00:00:00,63
Mangahao at Marima Domain,2017-11-14 00:00:00,10
Mangahao at Marima Domain,2017-11-20 00:00:00,63
Mangahao at Marima Domain,2017-11-26 00:00:00,75
Mangahao at Marima Domain,2017-12-05 00:00:00,75
Mangahao at Marima Domain,2017-12-11 00:00:00,120
Mangahao at Marima Domain,2017-12-17 00:00:00,31
Mangahao at Marima Domain,2017-12-24 00:00:00,86
Mangahao at Marima Domain,2017-12-31 00:00:00,160
Mangahao at Marima Domain,2018-01-07 00:00:00,457
Mangahao at Marima Domain,2018-01-16 00:00:00,173
Mangahao at Marima Domain,2018-01-23 00:00:00,52
Mangahao at Marima Domain,2018-01-28 00:00:00,20
Mangahao at Marima Domain,2018-02-07 00:00:00,41
Mangahao at Marima Domain,2018-02-12 00:00:00,2910
Mangahao at Marima Domain,2018-02-18 00:00:00,85
Mangahao at Marima Domain,2018-03-05 00:00:00,63
Mangahao at Marima Domain,2018-03-11 00:00:00,41
Mangahao at Marima Domain,2018-03-20 00:00:00,262
Mangahao at Marima Domain,2018-03-26 00:00:00,171
Mangahao at Marima Domain,2018-04-04 00:00:00,75
Mangahao at Marima Domain,2018-04-10 00:00:00,6490
Mangahao at Marima Domain,2018-04-16 00:00:00,2910
Mangahao at Marima Domain,2018-04-22 00:00:00,20
Mangahao at Marima Domain,2018-11-11 00:00:00,109
Mangahao at Marima Domain,2018-11-19 00:00:00,132
Mangahao at Marima Domain,2018-11-25 00:00:00,31
Mangahao at Marima Domain,2018-12-03 00:00:00,146
Mangahao at Marima Domain,2018-12-09 00:00:00,63
Mangahao at Marima Domain,2018-12-17 00:00:00,63
Mangahao at Marima Domain,2018-12-23 00:00:00,110
Mangahao at Marima Domain,2018-12-31 00:00:00,109
Mangahao at Marima Domain,2019-01-06 00:00:00,41
Mangahao at Marima Domain,2019-01-14 00:00:00,480
Mangahao at Marima Domain,2019-01-20 00:00:00,627
Mangahao at Marima Domain,2019-01-28 00:00:00,1076
Mangahao at Marima Domain,2019-02-03 00:00:00,63
Mangahao at Marima Domain,2019-02-11 00:00:00,52
Mangahao at Marima Domain,2019-02-17 00:00:00,52
Mangahao at Marima Domain,2019-02-25 00:00:00,20
Mangahao at Marima Domain,2019-03-03 00:00:00,31
Mangahao at Marima Domain,2019-03-11 00:00:00,110
Mangahao at Marima Domain,2019-03-19 00:00:00,20
Mangahao at Marima Domain,2019-03-25 00:00:00,121
Mangahao at Marima Domain,2019-03-31 00:00:00,189
Mangahao at Marima Domain,2019-04-08 00:00:00,908
Mangahao at Marima Domain,2019-04-14 00:00:00,10
Mangahao at Marima Domain,2019-04-23 00:00:00,120
Mangahao at Marima Domain,2019-04-30 00:00:00,464
Mangahao at Marima Domain,2019-11-03 00:00:00,20
Mangahao at Marima Domain,2019-11-11 00:00:00,2990
Mangahao at Marima Domain,2019-11-17 00:00:00,2359
Mangahao at Marima Domain,2019-11-25 00:00:00,52
Mangahao at Marima Domain,2019-12-01 00:00:00,20
Mangahao at Marima Domain,2019-12-09 00:00:00,644
Mangahao at Marima Domain,2019-12-15 00:00:00,52
Mangahao at Marima Domain,2019-12-23 00:00:00,134
Mangahao at Marima Domain,2019-12-29 00:00:00,30
Mangahao at Marima Domain,2020-01-06 00:00:00,309
Mangahao at Marima Domain,2020-01-12 00:00:00,31
Mangahao at Marima Domain,2020-01-20 00:00:00,41
Mangahao at Marima Domain,2020-01-26 00:00:00,85
Mangahao at Marima Domain,2020-02-03 00:00:00,110
Mangahao at Marima Domain,2020-02-09 00:00:00,169
Mangahao at Marima Domain,2020-02-17 00:00:00,121
Mangahao at Marima Domain,2020-02-23 00:00:00,794
Mangahao at Marima Domain,2020-03-02 00:00:00,63
Mangahao at Marima Domain,2020-03-08 00:00:00,63
Mangahao at Marima Domain,2020-03-16 00:00:00,132
Mangahao at Marima Domain,2020-03-22 00:00:00,457
Mangahao at Marima Domain,2020-11-04 00:00:00,96
Mangahao at Marima Domain,2020-11-08 00:00:00,183
Mangahao at Marima Domain,2020-11-16 00:00:00,246
Mangahao at Marima Domain,2020-11-22 00:00:00,295
Mangahao at Marima Domain,2020-11-30 00:00:00,345
Mangahao at Marima Domain,2020-12-06 00:00:00,292
Mangahao at Marima Domain,2020-12-14 00:00:00,96
Mangahao at Marima Domain,2020-12-20 00:00:00,73
Mangahao at Marima Domain,2020-12-28 00:00:00,231
Mangahao at Marima Domain,2021-01-03 00:00:00,2480
Mangahao at Marima Domain,2021-01-11 00:00:00,122
Mangahao at Marima Domain,2021-01-17 00:00:00,63
Mangahao at Marima Domain,2021-01-26 00:00:00,135
Mangahao at Marima Domain,2021-01-31 00:00:00,20
Mangahao at Marima Domain,2021-02-09 00:00:00,31
Mangahao at Marima Domain,2021-02-14 00:00:00,52
Mangahao at Marima Domain,2021-02-22 00:00:00,9
Mangahao at Marima Domain,2021-03-01 00:00:00,20
Mangahao at Marima Domain,2021-03-08 00:00:00,249
Mangahao at Marima Domain,2021-03-14 00:00:00,110
Mangahao at Marima Domain,2021-03-28 00:00:00,98
Mangahao at Marima Domain,2021-04-05 00:00:00,305
Mangahao at Marima Domain,2021-04-19 00:00:00,288
Mangahao at Marima Domain,2021-04-26 00:00:00,288
Mangahao at Marima Domain,2021-11-02 00:00:00,20
Mangahao at Marima Domain,2021-11-09 00:00:00,62
Mangahao at Marima Domain,2021-11-16 00:00:00,135
Mangahao at Marima Domain,2021-11-23 00:00:00,146
Mangahao at Marima Domain,2021-11-30 00:00:00,420
Mangahao at Marima Domain,2021-12-07 00:00:00,13000
Mangahao at Marima Domain,2021-12-14 00:00:00,6870
Mangahao at Marima Domain,2021-12-21 00:00:00,175
Mangahao at Marima Domain,2021-12-28 00:00:00,145
Mangahao at Marima Domain,2022-01-04 00:00:00,31
Mangahao at Marima Domain,2022-01-11 00:00:00,20
Mangahao at Marima Domain,2022-01-18 00:00:00,97
Mangahao at Marima Domain,2022-01-25 00:00:00,110
Mangahao at Marima Domain,2022-02-01 00:00:00,52
Mangahao at Marima Domain,2022-02-08 00:00:00,448
Mangahao at Marima Domain,2022-02-15 00:00:00,379
Mangahao at Marima Domain,2022-02-22 00:00:00,211
Mangahao at Marima Domain,2022-03-01 00:00:00,121
Mangahao at Marima Domain,2022-03-08 00:00:00,450
Mangahao at Marima Domain,2022-03-15 00:00:00,269
Mangahao at Marima Domain,2022-03-22 00:00:00,2720
Mangahao at Marima Domain,2022-03-29 00:00:00,74
Mangahao at Marima Domain,2022-04-05 00:00:00,262
Mangahao at Marima Domain,2022-04-12 00:00:00,295
Mangahao at Marima Domain,2022-04-19 00:00:00,521
Mangahao at Marima Domain,2022-04-27 00:00:00,10500
Mangahao at Marima Domain,2022-11-01 00:00:00,187
Mangahao at Marima Domain,2022-11-07 00:00:00,62
Mangahao at Marima Domain,2022-11-14 00:00:00,62
Mangahao at Marima Domain,2022-11-21 00:00:00,288
Mangahao at Marima Domain,2022-11-28 00:00:00,160
Mangahao at Marima Domain,2022-12-05 00:00:00,134
Mangahao at Marima Domain,2022-12-12 00:00:00,171
Mangahao at Marima Domain,2022-12-19 00:00:00,369
Mangahao at Marima Domain,2022-12-26 00:00:00,160
Mangahao at Marima Domain,2023-01-02 00:00:00,74
Mangahao at Marima Domain,2023-01-09 00:00:00,134
Mangahao at Marima Domain,2023-01-16 00:00:00,41
Mangahao at Marima Domain,2023-01-24 00:00:00,30
Mangahao at Marima Domain,2023-01-30 00:00:00,602
Mangahao at Marima Domain,2023-02-07 00:00:00,160
Mangahao at Marima Domain,2023-02-13 00:00:00,
Mangahao at Marima Domain,2023-03-06 00:00:00,228
Mangahao at Marima Domain,2023-03-13 00:00:00,132
Mangahao at Marima Domain,2023-03-20 00:00:00,187
Mangahao at Marima Domain,2023-03-27 00:00:00,173
Mangahao at Marima Domain,2023-04-03 00:00:00,84
Mangahao at Marima Domain,2023-04-11 00:00:00,41
Mangahao at Marima Domain,2023-04-17 00:00:00,158
Mangahao at Marima Domain,2023-04-24 00:00:00,211
Mangahao at Marima Domain,2023-11-08 00:00:00,218
Mangahao at Marima Domain,2023-11-13 00:00:00,98
Mangahao at Marima Domain,2023-11-20 00:00:00,1860
Mangahao at Marima Domain,2023-11-27 00:00:00,171
Mangahao at Marima Domain,2023-12-04 00:00:00,644
Mangahao at Marima Domain,2023-12-11 00:00:00,315
Mangahao at Marima Domain,2023-12-18 00:00:00,173
Mangahao at Marima Domain,2023-12-27 00:00:00,187
Mangahao at Marima Domain,2024-01-03 00:00:00,213
Mangahao at Marima Domain,2024-01-08 00:00:00,52
Mangahao at Marima Domain,2024-01-15 00:00:00,122
Mangahao at Marima Domain,2024-01-23 00:00:00,203
Mangahao at Marima Domain,2024-01-29 00:00:00,62
Mangahao at Marima Domain,2024-02-05 00:00:00,74
Mangahao at Marima Domain,2024-02-12 00:00:00,
Mangahao at Marima Domain,2024-02-19 00:00:00,41
Mangahao at Marima Domain,2024-02-26 00:00:00,743
Mangahao at Marima Domain,2024-03-04 00:00:00,298
Mangahao at Marima Domain,2024-03-11 00:00:00,228
Mangahao at Marima Domain,2024-03-18 00:00:00,20
Mangahao at Marima Domain,2024-03-25 00:00:00,41
Mangahao at Marima Domain,2024-04-02 00:00:00,74
Mangahao at Marima Domain,2024-04-08 00:00:00,31
Mangahao at Marima Domain,2024-04-15 00:00:00,272
Mangahao at Marima Domain,2024-04-22 00:00:00,145
Mangahao at Marima Domain,2024-11-04 00:00:00,52
Mangahao at Marima Domain,2024-11-11 00:00:00,109
Mangahao at Marima Domain,2024-11-18 00:00:00,52
Mangahao at Marima Domain,2024-11-25 00:00:00,30
Mangahao at Marima Domain,2024-12-02 00:00:00,
Mangahao at Marima Domain,2024-12-09 00:00:00,
Mangahao at Marima Domain,2024-12-16 00:00:00,63
Mangahao at Marima Domain,2024-12-23 00:00:00,41
Mangahao at Marima Domain,2024-12-30 00:00:00,120
Mangahao at Marima Domain,2025-01-06 00:00:00,122
Mangahao at Marima Domain,2025-01-13 00:00:00,41
Mangahao at Marima Domain,2025-01-21 00:00:00,10
Mangahao at Marima Domain,2025-01-28 00:00:00,169
Mangahao at Marima Domain,2025-02-03 00:00:00,52
Mangahao at Marima Domain,2025-02-10 00:00:00,63
Mangahao at Marima Domain,2025-02-17 00:00:00,
Mangahao at Marima Domain,2025-02-24 00:00:00,20
Mangahao at Marima Domain,2025-03-03 00:00:00,10
Mangahao at Marima Domain,2025-03-10 00:00:00,63
Mangahao at Marima Domain,2025-03-17 00:00:00,109
Mangahao at Marima Domain,2025-03-24 00:00:00,86
Mangahao at Marima Domain,2025-03-31 00:00:00,10
Mangahao at Marima Domain,2025-04-07 00:00:00,173
Mangahao at Marima Domain,2025-04-14 00:00:00,41
Mangahao at Marima Domain,2025-04-23 00:00:00,1450
Mangahao at Marima Domain,2025-04-28 00:00:00,63
Mangahao at Marima Domain,2025-11-03 00:00:00,31
Mangahao at Marima Domain,2025-11-10 00:00:00,63
Mangahao at Marima Domain,2025-11-17 00:00:00,52
Mangahao at Marima Domain,2025-11-24 00:00:00,63
Mangahao at Marima Domain,2025-12-01 00:00:00,305
Mangahao at Marima Domain,2025-12-08 00:00:00,41
Mangahao at Marima Domain,2025-12-15 00:00:00,20
Mangahao at Marima Domain,2025-12-22 00:00:00,63
Mangahao at Marima Domain,2025-12-29 00:00:00,98
Mangahao at Marima Domain,2026-01-07 00:00:00,41
Mangahao at Marima Domain,2026-01-12 00:00:00,2700
Mangahao at Marima Domain,2026-01-20 00:00:00,211
Mangahao at Marima Domain,2026-01-26 00:00:00,521
Mangahao at Marima Domain,2026-02-02 00:00:00,97
Mangahao at Marima Domain,2026-02-09 00:00:00,158
Mangahao at Marima Domain,2026-02-17 00:00:00,135
Mangahao at Marima Domain,2026-02-23 00:00:00,107
Mangahao at Marima Domain,2026-03-02 00:00:00,40
Mangahao at Marima Domain,2026-03-10 00:00:00,389
Mangahao at Marima Domain,2026-03-16 00:00:00,98
Mangahao at Marima Domain,2026-03-23 00:00:00,97
Mangahao at Marima Domain,2026-03-30 00:00:00,31
Mangahao at Marima Domain,2026-04-07 00:00:00,96
Mangahao at Marima Domain,2026-04-13 00:00:00,1396
Mangahao at Marima Domain,2026-04-20 00:00:00,213
Mangahao at Marima Domain,2026-04-28 00:00:00,384
Mangahao at Poplar Reserve,2016-11-30 00:00:00,
Mangahao at Poplar Reserve,2016-12-06 00:00:00,140
Mangahao at Poplar Reserve,2016-12-12 00:00:00,800
Mangahao at Poplar Reserve,2016-12-19 00:00:00,270
Mangahao at Poplar Reserve,2016-12-28 00:00:00,1500
Mangahao at Poplar Reserve,2017-01-04 00:00:00,910
Mangahao at Poplar Reserve,2017-01-09 00:00:00,250
Mangahao at Poplar Reserve,2017-01-16 00:00:00,260
Mangahao at Poplar Reserve,2017-01-24 00:00:00,740
Mangahao at Poplar Reserve,2017-01-30 00:00:00,140
Mangahao at Poplar Reserve,2017-02-07 00:00:00,380
Mangahao at Poplar Reserve,2017-02-13 00:00:00,830
Mangahao at Poplar Reserve,2017-02-20 00:00:00,320
Mangahao at Poplar Reserve,2017-02-27 00:00:00,280
Mangahao at Poplar Reserve,2017-03-06 00:00:00,97
Mangahao at Poplar Reserve,2017-03-13 00:00:00,400
Mangahao at Poplar Reserve,2017-03-20 00:00:00,120
Mangahao at Poplar Reserve,2017-03-27 00:00:00,300
Mangahao at Poplar Reserve,2017-04-03 00:00:00,5200
Mangahao at Poplar Reserve,2017-04-18 00:00:00,240
Mangahao at Poplar Reserve,2017-04-27 00:00:00,67
Mangahao at Poplar Reserve,2017-11-05 00:00:00,158
Mangahao at Poplar Reserve,2017-11-14 00:00:00,69
Mangahao at Poplar Reserve,2017-11-20 00:00:00,426
Mangahao at Poplar Reserve,2017-11-26 00:00:00,345
Mangahao at Poplar Reserve,2017-12-05 00:00:00,102
Mangahao at Poplar Reserve,2017-12-11 00:00:00,108
Mangahao at Poplar Reserve,2017-12-17 00:00:00,171
Mangahao at Poplar Reserve,2017-12-24 00:00:00,41
Mangahao at Poplar Reserve,2017-12-31 00:00:00,30
Mangahao at Poplar Reserve,2018-01-07 00:00:00,933
Mangahao at Poplar Reserve,2018-01-16 00:00:00,183
Mangahao at Poplar Reserve,2018-01-23 00:00:00,122
Mangahao at Poplar Reserve,2018-01-28 00:00:00,74
Mangahao at Poplar Reserve,2018-02-07 00:00:00,52
Mangahao at Poplar Reserve,2018-02-12 00:00:00,4610
Mangahao at Poplar Reserve,2018-02-18 00:00:00,161
Mangahao at Poplar Reserve,2018-02-27 00:00:00,1200
Mangahao at Poplar Reserve,2018-03-05 00:00:00,110
Mangahao at Poplar Reserve,2018-03-11 00:00:00,52
Mangahao at Poplar Reserve,2018-03-20 00:00:00,41
Mangahao at Poplar Reserve,2018-03-26 00:00:00,109
Mangahao at Poplar Reserve,2018-04-04 00:00:00,275
Mangahao at Poplar Reserve,2018-04-10 00:00:00,13000
Mangahao at Poplar Reserve,2018-04-16 00:00:00,933
Mangahao at Poplar Reserve,2018-04-22 00:00:00,158
Mangahao at Poplar Reserve,2018-11-11 00:00:00,355
Mangahao at Poplar Reserve,2018-11-19 00:00:00,414
Mangahao at Poplar Reserve,2018-11-25 00:00:00,345
Mangahao at Poplar Reserve,2018-12-03 00:00:00,20
Mangahao at Poplar Reserve,2018-12-09 00:00:00,86
Mangahao at Poplar Reserve,2018-12-17 00:00:00,75
Mangahao at Poplar Reserve,2018-12-23 00:00:00,74
Mangahao at Poplar Reserve,2018-12-31 00:00:00,85
Mangahao at Poplar Reserve,2019-01-06 00:00:00,146
Mangahao at Poplar Reserve,2019-01-14 00:00:00,1842
Mangahao at Poplar Reserve,2019-01-20 00:00:00,197
Mangahao at Poplar Reserve,2019-01-28 00:00:00,638
Mangahao at Poplar Reserve,2019-02-03 00:00:00,74
Mangahao at Poplar Reserve,2019-02-11 00:00:00,85
Mangahao at Poplar Reserve,2019-02-17 00:00:00,97
Mangahao at Poplar Reserve,2019-02-25 00:00:00,471
Mangahao at Poplar Reserve,2019-03-03 00:00:00,10
Mangahao at Poplar Reserve,2019-03-11 00:00:00,272
Mangahao at Poplar Reserve,2019-03-19 00:00:00,175
Mangahao at Poplar Reserve,2019-03-25 00:00:00,332
Mangahao at Poplar Reserve,2019-03-31 00:00:00,408
Mangahao at Poplar Reserve,2019-04-08 00:00:00,1309
Mangahao at Poplar Reserve,2019-04-14 00:00:00,122
Mangahao at Poplar Reserve,2019-04-23 00:00:00,30
Mangahao at Poplar Reserve,2019-04-30 00:00:00,1989
Mangahao at Poplar Reserve,2019-11-03 00:00:00,41
Mangahao at Poplar Reserve,2019-11-11 00:00:00,6490
Mangahao at Poplar Reserve,2019-11-17 00:00:00,5790
Mangahao at Poplar Reserve,2019-11-25 00:00:00,63
Mangahao at Poplar Reserve,2019-12-01 00:00:00,132
Mangahao at Poplar Reserve,2019-12-09 00:00:00,1106
Mangahao at Poplar Reserve,2019-12-15 00:00:00,31
Mangahao at Poplar Reserve,2019-12-23 00:00:00,279
Mangahao at Poplar Reserve,2019-12-29 00:00:00,98
Mangahao at Poplar Reserve,2020-01-06 00:00:00,1259
Mangahao at Poplar Reserve,2020-01-12 00:00:00,20
Mangahao at Poplar Reserve,2020-01-20 00:00:00,52
Mangahao at Poplar Reserve,2020-01-26 00:00:00,63
Mangahao at Poplar Reserve,2020-02-03 00:00:00,185
Mangahao at Poplar Reserve,2020-02-09 00:00:00,657
Mangahao at Poplar Reserve,2020-02-17 00:00:00,146
Mangahao at Poplar Reserve,2020-02-23 00:00:00,1421
Mangahao at Poplar Reserve,2020-03-02 00:00:00,146
Mangahao at Poplar Reserve,2020-03-08 00:00:00,359
Mangahao at Poplar Reserve,2020-03-16 00:00:00,1130
Mangahao at Poplar Reserve,2020-03-22 00:00:00,1483
Mangahao at Poplar Reserve,2020-11-04 00:00:00,52
Mangahao at Poplar Reserve,2020-11-16 00:00:00,98
Mangahao at Poplar Reserve,2020-11-22 00:00:00,1050
Mangahao at Poplar Reserve,2020-11-30 00:00:00,512
Mangahao at Poplar Reserve,2020-12-06 00:00:00,833
Mangahao at Poplar Reserve,2020-12-14 00:00:00,146
Mangahao at Poplar Reserve,2020-12-20 00:00:00,75
Mangahao at Poplar Reserve,2020-12-28 00:00:00,201
Mangahao at Poplar Reserve,2021-01-03 00:00:00,563
Mangahao at Poplar Reserve,2021-01-11 00:00:00,109
Mangahao at Poplar Reserve,2021-01-17 00:00:00,52
Mangahao at Poplar Reserve,2021-01-26 00:00:00,121
Mangahao at Poplar Reserve,2021-02-09 00:00:00,135
Mangahao at Poplar Reserve,2021-02-14 00:00:00,41
Mangahao at Poplar Reserve,2021-02-22 00:00:00,52
Mangahao at Poplar Reserve,2021-03-01 00:00:00,52
Mangahao at Poplar Reserve,2021-03-08 00:00:00,455
Mangahao at Poplar Reserve,2021-03-14 00:00:00,301
Mangahao at Poplar Reserve,2021-04-05 00:00:00,487
Mangahao at Poplar Reserve,2021-04-19 00:00:00,581
Mangahao at Poplar Reserve,2021-04-26 00:00:00,767
Mangahao at Poplar Reserve,2021-11-02 00:00:00,63
Mangahao at Poplar Reserve,2021-11-09 00:00:00,160
Mangahao at Poplar Reserve,2021-11-16 00:00:00,345
Mangahao at Poplar Reserve,2021-11-23 00:00:00,301
Mangahao at Poplar Reserve,2021-11-30 00:00:00,754
Mangahao at Poplar Reserve,2021-12-07 00:00:00,13000
Mangahao at Poplar Reserve,2021-12-14 00:00:00,24200
Mangahao at Poplar Reserve,2021-12-21 00:00:00,231
Mangahao at Poplar Reserve,2021-12-28 00:00:00,355
Mangahao at Poplar Reserve,2022-01-04 00:00:00,134
Mangahao at Poplar Reserve,2022-01-11 00:00:00,228
Mangahao at Poplar Reserve,2022-01-18 00:00:00,52
Mangahao at Poplar Reserve,2022-01-25 00:00:00,171
Mangahao at Poplar Reserve,2022-02-01 00:00:00,109
Mangahao at Poplar Reserve,2022-02-08 00:00:00,759
Mangahao at Poplar Reserve,2022-02-15 00:00:00,448
Mangahao at Poplar Reserve,2022-02-22 00:00:00,282
Mangahao at Poplar Reserve,2022-03-01 00:00:00,41
Mangahao at Poplar Reserve,2022-03-08 00:00:00,173
Mangahao at Poplar Reserve,2022-03-15 00:00:00,41
Mangahao at Poplar Reserve,2022-03-22 00:00:00,4110
Mangahao at Poplar Reserve,2022-03-29 00:00:00,63
Mangahao at Poplar Reserve,2022-04-05 00:00:00,108
Mangahao at Poplar Reserve,2022-04-12 00:00:00,63
Mangahao at Poplar Reserve,2022-04-19 00:00:00,97
Mangahao at Poplar Reserve,2022-04-27 00:00:00,350
Mangahao at Poplar Reserve,2022-11-01 00:00:00,529
Mangahao at Poplar Reserve,2022-11-07 00:00:00,241
Mangahao at Poplar Reserve,2022-11-14 00:00:00,581
Mangahao at Poplar Reserve,2022-11-21 00:00:00,1119
Mangahao at Poplar Reserve,2022-11-28 00:00:00,504
Mangahao at Poplar Reserve,2022-12-05 00:00:00,203
Mangahao at Poplar Reserve,2022-12-12 00:00:00,195
Mangahao at Poplar Reserve,2022-12-19 00:00:00,591
Mangahao at Poplar Reserve,2022-12-26 00:00:00,388
Mangahao at Poplar Reserve,2023-01-02 00:00:00,75
Mangahao at Poplar Reserve,2023-01-09 00:00:00,209
Mangahao at Poplar Reserve,2023-01-16 00:00:00,62
Mangahao at Poplar Reserve,2023-01-24 00:00:00,109
Mangahao at Poplar Reserve,2023-01-30 00:00:00,657
Mangahao at Poplar Reserve,2023-02-07 00:00:00,238
Mangahao at Poplar Reserve,2023-02-13 00:00:00,31
Mangahao at Poplar Reserve,2023-02-20 00:00:00,110
Mangahao at Poplar Reserve,2023-03-06 00:00:00,121
Mangahao at Poplar Reserve,2023-03-13 00:00:00,86
Mangahao at Poplar Reserve,2023-03-20 00:00:00,226
Mangahao at Poplar Reserve,2023-03-27 00:00:00,211
Mangahao at Poplar Reserve,2023-04-03 00:00:00,305
Mangahao at Poplar Reserve,2023-04-11 00:00:00,171
Mangahao at Poplar Reserve,2023-04-24 00:00:00,422
Mangahao at Poplar Reserve,2023-11-08 00:00:00,173
Mangahao at Poplar Reserve,2023-11-13 00:00:00,218
Mangahao at Poplar Reserve,2023-11-20 00:00:00,388
Mangahao at Poplar Reserve,2023-11-27 00:00:00,134
Mangahao at Poplar Reserve,2023-12-04 00:00:00,987
Mangahao at Poplar Reserve,2023-12-11 00:00:00,888
Mangahao at Poplar Reserve,2023-12-18 00:00:00,650
Mangahao at Poplar Reserve,2023-12-27 00:00:00,183
Mangahao at Poplar Reserve,2024-01-03 00:00:00,169
Mangahao at Poplar Reserve,2024-01-08 00:00:00,121
Mangahao at Poplar Reserve,2024-01-15 00:00:00,573
Mangahao at Poplar Reserve,2024-01-23 00:00:00,231
Mangahao at Poplar Reserve,2024-01-29 00:00:00,377
Mangahao at Poplar Reserve,2024-02-05 00:00:00,414
Mangahao at Poplar Reserve,2024-02-12 00:00:00,20
Mangahao at Poplar Reserve,2024-02-19 00:00:00,171
Mangahao at Poplar Reserve,2024-02-26 00:00:00,909
Mangahao at Poplar Reserve,2024-03-04 00:00:00,651
Mangahao at Poplar Reserve,2024-03-11 00:00:00,107
Mangahao at Poplar Reserve,2024-03-18 00:00:00,331
Mangahao at Poplar Reserve,2024-03-25 00:00:00,63
Mangahao at Poplar Reserve,2024-04-02 00:00:00,189
Mangahao at Poplar Reserve,2024-04-08 00:00:00,63
Mangahao at Poplar Reserve,2024-04-15 00:00:00,279
Mangahao at Poplar Reserve,2024-04-22 00:00:00,20
Mangahao at Poplar Reserve,2024-11-04 00:00:00,52
Mangahao at Poplar Reserve,2024-11-11 00:00:00,187
Mangahao at Poplar Reserve,2024-11-18 00:00:00,122
Mangahao at Poplar Reserve,2024-11-25 00:00:00,187
Mangahao at Poplar Reserve,2024-12-02 00:00:00,
Mangahao at Poplar Reserve,2024-12-09 00:00:00,5012
Mangahao at Poplar Reserve,2024-12-16 00:00:00,31
Mangahao at Poplar Reserve,2024-12-23 00:00:00,189
Mangahao at Poplar Reserve,2024-12-30 00:00:00,148
Mangahao at Poplar Reserve,2025-01-06 00:00:00,145
Mangahao at Poplar Reserve,2025-01-13 00:00:00,41
Mangahao at Poplar Reserve,2025-01-21 00:00:00,73
Mangahao at Poplar Reserve,2025-01-28 00:00:00,158
Mangahao at Poplar Reserve,2025-02-03 00:00:00,121
Mangahao at Poplar Reserve,2025-02-10 00:00:00,41
Mangahao at Poplar Reserve,2025-02-17 00:00:00,75
Mangahao at Poplar Reserve,2025-02-24 00:00:00,10
Mangahao at Poplar Reserve,2025-03-03 00:00:00,20
Mangahao at Poplar Reserve,2025-03-10 00:00:00,97
Mangahao at Poplar Reserve,2025-03-17 00:00:00,98
Mangahao at Poplar Reserve,2025-03-24 00:00:00,63
Mangahao at Poplar Reserve,2025-03-31 00:00:00,31
Mangahao at Poplar Reserve,2025-04-07 00:00:00,247
Mangahao at Poplar Reserve,2025-04-14 00:00:00,121
Mangahao at Poplar Reserve,2025-04-23 00:00:00,2014
Mangahao at Poplar Reserve,2025-04-28 00:00:00,63
Mangahao at Poplar Reserve,2025-11-03 00:00:00,63
Mangahao at Poplar Reserve,2025-11-10 00:00:00,160
Mangahao at Poplar Reserve,2025-11-17 00:00:00,63
Mangahao at Poplar Reserve,2025-11-24 00:00:00,199
Mangahao at Poplar Reserve,2025-12-01 00:00:00,908
Mangahao at Poplar Reserve,2025-12-08 00:00:00,243
Mangahao at Poplar Reserve,2025-12-15 00:00:00,160
Mangahao at Poplar Reserve,2025-12-22 00:00:00,41
Mangahao at Poplar Reserve,2025-12-29 00:00:00,63
Mangahao at Poplar Reserve,2026-01-07 00:00:00,144
Mangahao at Poplar Reserve,2026-01-12 00:00:00,243
Mangahao at Poplar Reserve,2026-01-20 00:00:00,216
Mangahao at Poplar Reserve,2026-01-26 00:00:00,830
Mangahao at Poplar Reserve,2026-02-02 00:00:00,97
Mangahao at Poplar Reserve,2026-02-09 00:00:00,85
Mangahao at Poplar Reserve,2026-02-17 00:00:00,323
Mangahao at Poplar Reserve,2026-02-23 00:00:00,259
Mangahao at Poplar Reserve,2026-03-02 00:00:00,146
Mangahao at Poplar Reserve,2026-03-10 00:00:00,771
Mangahao at Poplar Reserve,2026-03-16 00:00:00,52
Mangahao at Poplar Reserve,2026-03-23 00:00:00,110
Mangahao at Poplar Reserve,2026-03-30 00:00:00,120
Mangahao at Poplar Reserve,2026-04-07 00:00:00,31
Mangahao at Poplar Reserve,2026-04-13 00:00:00,3130
Mangahao at Poplar Reserve,2026-04-20 00:00:00,487
Mangahao at Poplar Reserve,2026-04-28 00:00:00,98
Manganui o te Ao at Ruatiti Domain,2016-12-01 00:00:00,150
Manganui o te Ao at Ruatiti Domain,2016-12-06 00:00:00,1500
Manganui o te Ao at Ruatiti Domain,2016-12-13 00:00:00,73
Manganui o te Ao at Ruatiti Domain,2016-12-20 00:00:00,34
Manganui o te Ao at Ruatiti Domain,2016-12-27 00:00:00,30
