sitename,date,ecoli_value (MPN/100mL)
Akitio Estuary at Coast Rd Bridge,2020-03-16 00:00:00,20
Akitio Estuary at Coast Rd Bridge,2020-03-23 00:00:00,30
Akitio Estuary at Coast Rd Bridge,2020-11-01 00:00:00,52
Akitio Estuary at Coast Rd Bridge,2020-11-11 00:00:00,556
Akitio Estuary at Coast Rd Bridge,2020-11-15 00:00:00,1989
Akitio Estuary at Coast Rd Bridge,2020-11-23 00:00:00,591
Akitio Estuary at Coast Rd Bridge,2020-11-29 00:00:00,1835
Akitio Estuary at Coast Rd Bridge,2020-12-07 00:00:00,160
Akitio Estuary at Coast Rd Bridge,2020-12-13 00:00:00,391
Akitio Estuary at Coast Rd Bridge,2020-12-21 00:00:00,134
Akitio Estuary at Coast Rd Bridge,2020-12-27 00:00:00,197
Akitio Estuary at Coast Rd Bridge,2021-01-04 00:00:00,1112
Akitio Estuary at Coast Rd Bridge,2021-01-10 00:00:00,146
Akitio Estuary at Coast Rd Bridge,2021-01-18 00:00:00,487
Akitio Estuary at Coast Rd Bridge,2021-01-24 00:00:00,135
Akitio Estuary at Coast Rd Bridge,2021-02-01 00:00:00,131
Akitio Estuary at Coast Rd Bridge,2021-02-07 00:00:00,135
Akitio Estuary at Coast Rd Bridge,2021-02-15 00:00:00,75
Akitio Estuary at Coast Rd Bridge,2021-02-21 00:00:00,86
Akitio Estuary at Coast Rd Bridge,2021-02-28 00:00:00,243
Akitio Estuary at Coast Rd Bridge,2021-03-07 00:00:00,146
Akitio Estuary at Coast Rd Bridge,2021-03-15 00:00:00,63
Akitio Estuary at Coast Rd Bridge,2021-03-21 00:00:00,110
Akitio Estuary at Coast Rd Bridge,2021-03-29 00:00:00,246
Akitio Estuary at Coast Rd Bridge,2021-04-04 00:00:00,5480
Akitio Estuary at Coast Rd Bridge,2021-04-12 00:00:00,10
Akitio Estuary at Coast Rd Bridge,2021-04-18 00:00:00,63
Akitio Estuary at Coast Rd Bridge,2021-04-27 00:00:00,269
Akitio Estuary at Coast Rd Bridge,2021-11-01 00:00:00,31
Akitio Estuary at Coast Rd Bridge,2021-11-08 00:00:00,3280
Akitio Estuary at Coast Rd Bridge,2021-11-16 00:00:00,86
Akitio Estuary at Coast Rd Bridge,2021-11-22 00:00:00,109
Akitio Estuary at Coast Rd Bridge,2021-11-29 00:00:00,63
Akitio Estuary at Coast Rd Bridge,2021-12-06 00:00:00,1266
Akitio Estuary at Coast Rd Bridge,2021-12-13 00:00:00,173
Akitio Estuary at Coast Rd Bridge,2021-12-20 00:00:00,1198
Akitio Estuary at Coast Rd Bridge,2021-12-27 00:00:00,216
Akitio Estuary at Coast Rd Bridge,2022-01-03 00:00:00,327
Akitio Estuary at Coast Rd Bridge,2022-01-10 00:00:00,231
Akitio Estuary at Coast Rd Bridge,2022-01-17 00:00:00,529
Akitio Estuary at Coast Rd Bridge,2022-01-24 00:00:00,20
Akitio Estuary at Coast Rd Bridge,2022-01-31 00:00:00,122
Akitio Estuary at Coast Rd Bridge,2022-02-07 00:00:00,24200
Akitio Estuary at Coast Rd Bridge,2022-02-14 00:00:00,5480
Akitio Estuary at Coast Rd Bridge,2022-02-21 00:00:00,285
Akitio Estuary at Coast Rd Bridge,2022-02-28 00:00:00,173
Akitio Estuary at Coast Rd Bridge,2022-03-07 00:00:00,121
Akitio Estuary at Coast Rd Bridge,2022-03-14 00:00:00,134
Akitio Estuary at Coast Rd Bridge,2022-03-21 00:00:00,246
Akitio Estuary at Coast Rd Bridge,2022-03-28 00:00:00,3870
Akitio Estuary at Coast Rd Bridge,2022-04-04 00:00:00,383
Akitio Estuary at Coast Rd Bridge,2022-04-11 00:00:00,86
Akitio Estuary at Coast Rd Bridge,2022-04-19 00:00:00,52
Akitio Estuary at Coast Rd Bridge,2022-04-26 00:00:00,10
Akitio Estuary at Coast Rd Bridge,2022-11-02 00:00:00,
Akitio Estuary at Coast Rd Bridge,2022-11-08 00:00:00,10
Akitio Estuary at Coast Rd Bridge,2022-11-15 00:00:00,833
Akitio Estuary at Coast Rd Bridge,2022-11-22 00:00:00,5480
